Name, Links
Macy's, https://www.macys.com/
ASOS, https://www.asos.com/
ZARA, https://www.zara.com/us/
H&M, https://www2.hm.com/en_us/index.html
Forever21, https://www.forever21.com/us/shop
Bloomingdale, https://www.bloomingdales.com/
Urban Outfitters, https://www.urbanoutfitters.com/
Nordstrom, https://shop.nordstrom.com/
Mango, https://shop.mango.com/us
Old Navy, https://oldnavy.gap.com/
ROMWE, https://us.romwe.com/
GAP, https://www.gap.com/
RalphLauren, https://www.ralphlauren.com/
Esprit, https://www.esprit.com/
Banana Republic, https://bananarepublic.gap.com/
Tommy, https://usa.tommy.com/en
Topshop, http://us.topshop.com/?geoip=home
Boohoo, https://us.boohoo.com/womens/dresses
Riverisland, https://us.riverisland.com/
Pull & Bear, https://www.pullandbear.com/
Barneys, https://www.barneys.com/
Saks off fifth, https://www.saksoff5th.com/Entry.jsp
Shopoo, https://www.showpo.com/us/
Uniqlo, https://www.uniqlo.com/us/en/home/
Ruelala, https://www.ruelala.com/boutique/
American Eagle, https://www.ae.com/
Pretty Little Things, https://www.prettylittlething.us/
Zaful, https://www.zaful.com/
Hollister, https://www.hollisterco.com/shop/us
A&F, https://www.abercrombie.com/shop/us
LuckyBrand, https://www.luckybrand.com/
Bershka, https://www.bershka.com/us/
FashionNova, https://www.fashionnova.com/
Kohls, https://www.kohls.com/
Kate Spade, https://www.katespade.com/
Ted Baker, https://www.tedbaker.com/
Zappos, https://zappos.com
